Image Generation Started: 2025-11-17T02:18:34.926Z

[2025-11-17T02:18:34.928Z] Connecting to: homemadekahoot.gfbwla5.mongodb.net/homemadekahoot_dev?appName=homemadekahoot
[2025-11-17T02:18:35.124Z] Connected to MongoDB successfully
[2025-11-17T02:18:36.932Z] Found 12897 words that need images
[2025-11-17T02:18:36.936Z] Starting image generation for 12897 words (parallel processing with 5 keys)
[2025-11-17T02:28:38.380Z] Key4 | 7842 / 10400 | Image Added | (sedate)
[2025-11-17T02:29:40.038Z] Key2 | 2645 / 5200 | Image Added | (distribution)
[2025-11-17T02:29:40.211Z] Key1 | 117 / 2600 | Image Added | (white)
[2025-11-17T02:29:40.915Z] Key3 | 5252 / 7800 | Image Added | (noun)
[2025-11-17T02:29:42.697Z] Key5 | 10452 / 12897 | Image Added | (hemisphere)
[2025-11-17T02:29:44.446Z] Key6 | 13017 / 15600 | Image Added | (lacerate)
[2025-11-17T02:29:51.938Z] Key4 | 7843 / 10400 | Image Added | (sedentary)
[2025-11-17T02:30:53.632Z] Key2 | 2646 / 5200 | Image Added | (district)
[2025-11-17T02:30:53.655Z] Key1 | 118 / 2600 | Image Added | (wonderful)
[2025-11-17T02:30:54.434Z] Key3 | 5253 / 7800 | Image Added | (oak)
[2025-11-17T02:30:56.297Z] Key5 | 10453 / 12897 | Image Added | (hepatitis)
[2025-11-17T02:30:58.449Z] Key6 | 13018 / 15600 | Image Added | (languish)
[2025-11-17T02:31:06.377Z] Key4 | 7844 / 10400 | Image Added | (self-conscious)
[2025-11-17T02:32:07.476Z] Key1 | 119 / 2600 | Image Added | (wrong)
[2025-11-17T02:32:07.656Z] Key2 | 2647 / 5200 | Image Added | (division)
[2025-11-17T02:32:07.869Z] Key3 | 5254 / 7800 | Image Added | (olive oil)
[2025-11-17T02:32:09.939Z] Key5 | 10454 / 12897 | Image Added | (heron)
[2025-11-17T02:32:11.873Z] Key6 | 13019 / 15600 | Image Added | (lent)
[2025-11-17T02:32:20.406Z] Key4 | 7845 / 10400 | Image Added | (sentient)
[2025-11-17T02:33:20.922Z] Key1 | 120 / 2600 | Image Added | (young)
[2025-11-17T02:33:21.137Z] Key2 | 2648 / 5200 | Image Added | (dozen)
[2025-11-17T02:33:21.564Z] Key3 | 5255 / 7800 | Image Added | (omelet)
[2025-11-17T02:33:23.487Z] Key5 | 10455 / 12897 | Image Added | (herring)
[2025-11-17T02:33:25.366Z] Key6 | 13020 / 15600 | Image Added | (loathe)
[2025-11-17T02:33:33.911Z] Key4 | 7846 / 10400 | Image Added | (sentimental)
[2025-11-17T02:34:34.378Z] Key1 | 123 / 2600 | Image Added | (above)
[2025-11-17T02:34:35.016Z] Key3 | 5256 / 7800 | Image Added | (orphan)
[2025-11-17T02:34:35.111Z] Key2 | 2649 / 5200 | Image Added | (draft)
[2025-11-17T02:34:37.347Z] Key5 | 10456 / 12897 | Image Added | (highness)
[2025-11-17T02:34:38.821Z] Key6 | 13021 / 15600 | Image Added | (loosen)
[2025-11-17T02:34:47.490Z] Key4 | 7847 / 10400 | Image Added | (showy)
[2025-11-17T02:35:48.504Z] Key1 | 124 / 2600 | Image Added | (again)
[2025-11-17T02:35:48.703Z] Key2 | 2650 / 5200 | Image Added | (edition)
[2025-11-17T02:35:48.960Z] Key3 | 5257 / 7800 | Image Added | (pal)
[2025-11-17T02:35:50.799Z] Key5 | 10457 / 12897 | Image Added | (hive)
[2025-11-17T02:35:52.343Z] Key6 | 13022 / 15600 | Image Added | (lull)
[2025-11-17T02:36:00.934Z] Key4 | 7848 / 10400 | Image Added | (slack)
[2025-11-17T02:37:02.088Z] Key1 | 125 / 2600 | Image Added | (also)
[2025-11-17T02:37:02.624Z] Key3 | 5258 / 7800 | Image Added | (pasta)
[2025-11-17T02:37:02.705Z] Key2 | 2651 / 5200 | Image Added | (emphasis)
[2025-11-17T02:37:04.728Z] Key5 | 10458 / 12897 | Image Added | (homecoming)
[2025-11-17T02:37:05.937Z] Key6 | 13023 / 15600 | Image Added | (lurk)
[2025-11-17T02:37:14.923Z] Key4 | 7849 / 10400 | Image Added | (smug)
[2025-11-17T02:38:15.571Z] Key1 | 126 / 2600 | Image Added | (always)
[2025-11-17T02:38:16.127Z] Key3 | 5259 / 7800 | Image Added | (PC)
[2025-11-17T02:38:16.178Z] Key2 | 2652 / 5200 | Image Added | (encounter)
[2025-11-17T02:38:18.114Z] Key5 | 10459 / 12897 | Image Added | (homevideo)
[2025-11-17T02:38:19.440Z] Key6 | 13024 / 15600 | Image Added | (lying)
[2025-11-17T02:38:30.185Z] Key4 | 7850 / 10400 | Image Added | (somber)
[2025-11-17T02:39:29.086Z] Key1 | 127 / 2600 | Image Added | (away)
[2025-11-17T02:39:29.648Z] Key3 | 5260 / 7800 | Image Added | (pea)
[2025-11-17T02:39:29.961Z] Key2 | 2653 / 5200 | Image Added | (enquiry)
[2025-11-17T02:39:31.916Z] Key5 | 10460 / 12897 | Image Added | (homophones)
[2025-11-17T02:39:32.672Z] Key6 | 13025 / 15600 | ERROR: Rate limit exceeded (403): Rate limit exceeded or invalid API key. Please check your API key or wait before retrying. | (madden)
[2025-11-17T02:39:43.698Z] Key4 | 7851 / 10400 | Image Added | (spacious)
[2025-11-17T02:40:42.654Z] Key1 | 128 / 2600 | Image Added | (below)
[2025-11-17T02:40:43.235Z] Key3 | 5261 / 7800 | Image Added | (pear)
[2025-11-17T02:40:43.505Z] Key2 | 2654 / 5200 | Image Added | (enthusiasm)
[2025-11-17T02:40:45.158Z] Key5 | 10461 / 12897 | ERROR: Rate limit exceeded (403): Rate limit exceeded or invalid API key. Please check your API key or wait before retrying. | (hooligan)
[2025-11-17T02:40:58.087Z] Key4 | 7852 / 10400 | Image Added | (spartan)
[2025-11-17T02:41:56.136Z] Key1 | 129 / 2600 | Image Added | (down)
[2025-11-17T02:41:56.805Z] Key3 | 5262 / 7800 | Image Added | (pence)
[2025-11-17T02:41:56.982Z] Key2 | 2655 / 5200 | Image Added | (estate)
[2025-11-17T02:42:12.296Z] Key4 | 7853 / 10400 | ERROR: Failed to fetch image from Unsplash: No images found for the query | (speculative)
[2025-11-17T02:42:14.166Z] Key4 | 7854 / 10400 | Image Added | (spontaneous)
[2025-11-17T02:43:10.140Z] Key1 | 130 / 2600 | Image Added | (downstairs)
[2025-11-17T02:43:10.263Z] Key3 | 5263 / 7800 | Image Added | (penfriend)
[2025-11-17T02:43:10.558Z] Key2 | 2656 / 5200 | Image Added | (examination)
[2025-11-17T02:43:27.627Z] Key4 | 7855 / 10400 | Image Added | (staccato)
[2025-11-17T02:44:23.677Z] Key1 | 131 / 2600 | Image Added | (else)
[2025-11-17T02:44:23.827Z] Key3 | 5264 / 7800 | Image Added | (perfume)
